annee,mag,lieu
2019,8,"78km SE of Lagunas, Peru"
2018,8.2,"286km NNE of Ndoi Island, Fiji"
2017,8.2,"101km SSW of Tres Picos, Mexico"
2015,8.3,"48km W of Illapel, Chile"
2014,8.2,"94km NW of Iquique, Chile"
2013,8.3,Sea of Okhotsk
2013,8,"76km W of Lata, Solomon Islands"
2012,8.2,off the west coast of northern Sumatra
2012,8.6,off the west coast of northern Sumatra
2011,9.1,"2011 Great Tohoku Earthquake, Japan"
2010,8.8,"offshore Bio-Bio, Chile"
2009,8.1,Samoa Islands region
2007,8.4,"southern Sumatra, Indonesia"
2007,8,near the coast of central Peru
2007,8.1,Solomon Islands
2007,8.1,east of the Kuril Islands
2006,8.3,Kuril Islands
2006,8,Tonga
2005,8.6,"northern Sumatra, Indonesia"
2004,9.1,2004 Sumatra - Andaman Islands Earthquake
2004,8.1,north of Macquarie Island
2003,8.16,"Hokkaido, Japan region"
2001,8.4,near the coast of southern Peru
2000,8,"New Ireland region, Papua New Guinea"
1998,8.1,Balleny Islands region
1996,08.09,"Biak region, Indonesia"
1995,8,"Colima, Mexico"
1995,8,"Antofagasta, Chile"
1994,8.3,Kuril Islands
1994,8.2,"La Paz, Bolivia"
1989,08.02,Macquarie Island region
1986,8,"Andreanof Islands, Aleutian Islands, Alaska"
1985,8,"Michoacan, Mexico"
1985,8,"offshore Valparaiso, Chile"
1977,8.3,"south of Sumbawa, Indonesia"
1976,8,Kermadec Islands region
1972,8,"Mindanao, Philippines"
1971,8.1,"New Ireland region, Papua New Guinea"
1971,8,"New Ireland region, Papua New Guinea"
1970,8,Colombia
1969,8.2,Kuril Islands
1968,8.2,"off the east coast of Honshu, Japan"
1966,8.1,near the coast of central Peru
1965,8.7,"Rat Islands, Aleutian Islands, Alaska"
1965,8.2,"Kepulauan Sula, Indonesia"
1964,9.2,"1964 Prince William Sound Earthquake, Alaska"
1963,8.1,Banda Sea
1963,8.5,Kuril Islands